lat,lng,alt
42.3773756328, -83.0887507347, 186.313183494
42.371004112, -83.0846816025, 190.099337646
42.3672406926, -83.0820790064, 188.994482633
42.3626792362, -83.0790903372, 185.860544966
42.3600412399, -83.0771250911, 185.927985953
42.3565219078, -83.0750962044, 183.373471319
42.352921899, -83.0730060851, 187.342143707
42.3471443839, -83.0697258291, 179.010056885
42.3439921272, -83.0681387414, 179.819083828
42.339128589, -83.0659736169, 174.415174143
42.3359445137, -83.0645486091, 170.577836498
42.3337061923, -83.063469294, 172.710477832
42.330451083, -83.0615694595, 171.018192705
42.3290682322, -83.0598150294, 176.259950454
42.3277819352, -83.0575510976, 178.389755062
42.3254010381, -83.0537762239, 180.112977326
42.3258937703, -83.0531670345, 180.103183533
42.3262963881, -83.0533128484, 178.39670209
42.3259894723, -83.0518003012, 186.253434926
42.326142395, -83.0518549405, 185.439393952
42.3261745905, -83.051764624, 185.998948807
42.3262154415, -83.0515795121, 189.174309774
42.3266934234, -83.0514590262, 188.06865777
42.3267106987, -83.0511419388, 190.840961783
42.3268063512, -83.0507881852, 194.342032584
42.3277017748, -83.0458371854, 344.887706416
42.3279921278, -83.0455300118, 300.769226678
42.3269706065, -83.0466879248, 266.81690582
42.3291106413, -83.0478172915, 222.333503215
42.3288978588, -83.0472497186, 174.050554257
42.3289561571, -83.0475586149, 185.143230741
42.3290440314, -83.0476574672, 176.874475844
42.3290293914, -83.0476272701, 174.14592462
42.3289876124, -83.0475000648, 176.31282494
42.3287438212, -83.0460461478, 185.823899647
42.3294015733, -83.0450384259, 214.640308564
42.3293857977, -83.0449038975, 215.695429769
42.3295634278, -83.0446037476, 217.703844344
42.3305507887, -83.0429964081, 220.125373502
42.3310536375, -83.0416489126, 254.858925213
42.330997679, -83.0415045652, 236.075888004
42.331748666, -83.0402952408, 218.557018574
42.3320480786, -83.0395499326, 199.534443062
42.3318674184, -83.0399185442, 179.495163611
42.3318339554, -83.0401075133, 178.813948251
42.3319100088, -83.0402871878, 181.201064506
42.3326846752, -83.040883464, 186.748709033
42.3324300943, -83.0408933138, 187.694426139
42.3323366536, -83.040962981, 187.01186794
42.3322697385, -83.041068645, 186.187050875
42.3321724747, -83.0412142438, 184.70703337
42.3315871959, -83.0422132762, 183.976488539
42.3317711629, -83.0421993997, 185.529099367
42.3318119177, -83.0421756448, 188.986225765
42.3317836236, -83.0422236083, 188.968361712
42.3316981007, -83.0423359296, 188.688655587
42.3312375088, -83.0431068672, 188.166027628
42.3312724185, -83.0432582257, 188.629782177
42.3313448732, -83.0432066669, 189.539006651
42.3313609709, -83.0431620416, 189.690546484
42.3313772571, -83.0430592503, 189.70136288
42.3310444448, -83.0431902197, 189.015604268
42.3309354726, -83.0430607128, 189.223443289
42.3303449752, -83.0426105339, 189.392733579
42.3305012073, -83.0426768364, 189.351411408
42.3300073638, -83.042277372, 189.447872867
42.3297922773, -83.0421035984, 189.385780672
42.3299123297, -83.0421750637, 189.289315135
42.3296607712, -83.0420125506, 189.314342036
42.3290193896, -83.0415169497, 189.351027143
42.3290471573, -83.0417135653, 189.057807043
42.3290555969, -83.0418084024, 188.972960308
42.3289899442, -83.0418722526, 188.927208042
42.3289057304, -83.0419280831, 188.893366116
42.3288142939, -83.0419793936, 188.847139586
42.3286310209, -83.0420441942, 188.760214993
42.3283428112, -83.0421503677, 188.683654166
42.3282455864, -83.0422309154, 188.742283965
42.3282243333, -83.0422746846, 188.81243892
42.3281477302, -83.0423723901, 188.81614997
42.3281617886, -83.0424017767, 188.892479789
42.3281883832, -83.0423956625, 188.92141295
42.3281959809, -83.0424804729, 188.856146391
42.3282018975, -83.0425053055, 188.859225322
42.3282422084, -83.0425408949, 188.878401875
42.3282892147, -83.0425980062, 188.959785526
42.3283027328, -83.0426052994, 189.228077359
42.328290474, -83.0425005988, 189.810084758
42.3271494795, -83.039882125, 190.876821705
42.3271387956, -83.0401232952, 189.198968745
42.3263836289, -83.0399747933, 187.841194242
42.3207760073, -83.0384218762, 186.504206378
42.3104124128, -83.0346297309, 180.728701377
42.3137942321, -83.0361969944, 177.326326176
